,smiles,cano_smiles,Predicted_Activity_Score,QED,SA,logP
0,Cc1ccc(CN(C(=O)Cn2cnc3ccccc32)C(C(=O)NCc2ccco2)c2cccs2)cc1,Cc1ccc(CN(C(=O)Cn2cnc3ccccc32)C(C(=O)NCc2ccco2)c2cccs2)cc1,3.274866,0.3071569074220705,2.963189411151891,5.085720000000005
1,O=C(Nc1ccccc1-c1nnn(C[PH](=O)NCc2ccco2)n1)c1ccccc1F,O=C(Nc1ccccc1-c1nnn(C[PH](=O)NCc2ccco2)n1)c1ccccc1F,31.208807,0.40280861452079747,3.424000620675603,3.5465000000000018
2,O=C(Nc1ccccc1-c1nnn(C[Te](=O)NCc2ccco2)n1)c1ccccc1F,O=C(Nc1ccccc1-c1nnn(C[Te](=O)NCc2ccco2)n1)c1ccccc1F,35.7359,0.3331873271311246,3.0776652420639365,2.5722000000000005
3,O=C(Nc1ccccc1-c1nnn(C[Se](=O)NCc2ccco2)n1)c1ccccc1F,O=C(Nc1ccccc1-c1nnn(C[Se](=O)NCc2ccco2)n1)c1ccccc1F,29.144783,0.3673575311318324,3.4297606206756033,2.5722000000000005
4,COc1cccc(C(C(=O)NCCOF)N(Cc2cccs2)C(=O)Cn2nnc3ccccc32)c1,COc1cccc(C(C(=O)NCCOF)N(Cc2cccs2)C(=O)Cn2nnc3ccccc32)c1,26.981804,0.31949141033794354,3.1511662578518695,3.288800000000002
5,COc1cccc(C(C(=O)NCCOBr)N(Cc2cccs2)C(=O)Cn2nnc3ccccc32)c1,COc1cccc(C(C(=O)NCCOBr)N(Cc2cccs2)C(=O)Cn2nnc3ccccc32)c1,28.067074,0.2820980928113406,3.1820212464276505,3.7142000000000026
6,COc1cccc(C(C(=O)NCCOCl)N(Cc2cccs2)C(=O)Cn2nnc3ccccc32)c1,COc1cccc(C(C(=O)NCCOCl)N(Cc2cccs2)C(=O)Cn2nnc3ccccc32)c1,31.985138,0.30787188274316496,3.150168238049889,3.5581000000000023
7,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(=O)F,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(=O)F,17.203897,0.5145388213950691,3.0846897742783232,1.5747999999999998
8,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(=O)Cl,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(=O)Cl,12.248262,0.5173485605281654,2.997595037436218,1.8440999999999999
9,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(=O)Br,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(=O)Br,18.246992,0.502439071402629,3.129803944318808,2.0001999999999995
10,CC(F)NC(=O)CN1CCN(c2ncccn2)CC1.O=C(O)C(=O)O,CC(F)NC(=O)CN1CCN(c2ncccn2)CC1.O=C(O)C(=O)O,-6.555813,0.46646084740829835,2.8888362818376763,-0.8140999999999974
11,CC(Br)NC(=O)CN1CCN(c2ncccn2)CC1.O=C(O)C(=O)O,CC(Br)NC(=O)CN1CCN(c2ncccn2)CC1.O=C(O)C(=O)O,-8.339413,0.33936625133429,2.8956684287951955,-0.38869999999999855
12,CC(Cl)NC(=O)CN1CCN(c2ncccn2)CC1.O=C(O)C(=O)O,CC(Cl)NC(=O)CN1CCN(c2ncccn2)CC1.O=C(O)C(=O)O,16.528381,0.3605994009161306,2.8336541922854384,-0.5447999999999984
13,C=C(NCc1ccco1)C(c1cccs1)N(Cc1ccccc1)C(=O)Cn1nnc2ccccc21,C=C(NCc1ccco1)C(c1cccs1)N(Cc1ccccc1)C(=O)Cn1nnc2ccccc21,11.753656,0.29697761171562376,3.157192189720636,5.159400000000004
14,O=C(CCc1ccco1)C(c1ccco1)N(CCc1ccccc1)C(=O)Cn1nnc2ccccc21,O=C(CCc1ccco1)C(c1ccco1)N(CCc1ccccc1)C(=O)Cn1nnc2ccccc21,31.908451,0.27242213090509937,3.1309452311809185,4.631800000000004
15,Cl.O=C(OC1CCCN[Se]1)c1ccc(Cl)cc1,Cl.O=C(OC1CCCN[Se]1)c1ccc(Cl)cc1,40.09063,0.6624994700342731,3.6982910930217807,2.2473
16,Cl.O=C(OC1CCCN[AtH]1)c1ccc(Cl)cc1,Cl.O=C(OC1CCCN[AtH]1)c1ccc(Cl)cc1,41.304913,0.6713429901794884,3.7903945300103237,2.3604000000000003
17,Cl.O=C(OC1[Be]NCCC1)c1ccc(Cl)cc1,Cl.O=C(OC1[Be]NCCC1)c1ccc(Cl)cc1,45.14161,0.6619412400308432,3.7903945300103246,2.2473
18,CCn1c(COc2ccccc2)nnc1SCC(=O)[PH](C)(C)C,CCn1c(COc2ccccc2)nnc1SCC(=O)[PH](C)(C)C,18.069902,0.5389953824960296,3.016724869127681,3.1350000000000016
19,CCn1c(SCC(=O)[PH](C)(C)C)nnc1[Se]Oc1ccccc1,CCn1c(SCC(=O)[PH](C)(C)C)nnc1[Se]Oc1ccccc1,23.17597,0.37238596502487786,3.9763866479738343,1.8794999999999997
20,CCn1c(SCC(=O)[PH](C)(C)C)nnc1[AtH]Oc1ccccc1,CCn1c(SCC(=O)[PH](C)(C)C)nnc1[AtH]Oc1ccccc1,22.408743,0.3721317352765102,4.0750707825892185,1.9925999999999997
21,O=C(C1=[Te](Cl)N=C2SC=CN21)N1CCN(c2cccc(Cl)c2)CC1,O=C(C1=[Te](Cl)N=C2SC=CN21)N1CCN(c2cccc(Cl)c2)CC1,48.310783,0.5893026560656744,3.495845513020119,2.3167999999999997
22,O=C(C1=[Se](Cl)N=C2SC=CN21)N1CCN(c2cccc(Cl)c2)CC1,O=C(C1=[Se](Cl)N=C2SC=CN21)N1CCN(c2cccc(Cl)c2)CC1,55.774086,0.6518319770710075,3.879511794641818,2.3167999999999997
23,O=C(C1=[AtH](Cl)N=C2SC=CN21)N1CCN(c2cccc(Cl)c2)CC1,O=C(C1=[AtH](Cl)N=C2SC=CN21)N1CCN(c2cccc(Cl)c2)CC1,67.589035,0.5395623766288046,3.9126562762471693,2.4299
24,COc1ccc([Se](=O)Nn2cnc3scc(-c4cccs4)c3c2=O)c(O)c1,COc1ccc([Se](=O)Nn2cnc3scc(-c4cccs4)c3c2=O)c(O)c1,2.495988,0.43869433403217856,3.803428832957181,2.2700999999999993
25,COc1ccc([Te](=O)Nn2cnc3scc(-c4cccs4)c3c2=O)c(O)c1,COc1ccc([Te](=O)Nn2cnc3scc(-c4cccs4)c3c2=O)c(O)c1,9.720768,0.3968490393495085,3.477966721078781,2.2700999999999993
26,COc1ccc([AtH](=O)Nn2cnc3scc(-c4cccs4)c3c2=O)c(O)c1,COc1ccc([AtH](=O)Nn2cnc3scc(-c4cccs4)c3c2=O)c(O)c1,17.18674,0.36688799944134065,3.8947774843058323,2.3832000000000004
27,CCc1ccc2cc(C3(C)NC(=O)N(CC(=O)NCc4ccco4)C3=O)ccc2c1,CCc1ccc2cc(C3(C)NC(=O)N(CC(=O)NCc4ccco4)C3=O)ccc2c1,13.247777,0.6167640617108822,2.7882656104448795,3.0786000000000016
28,COc1ccc(-c2n[nH]c(C(F)(F)F)c2-c2cc3ccccc3o2)c(F)c1,COc1ccc(-c2n[nH]c(C(F)(F)F)c2-c2cc3ccccc3o2)c(F)c1,16.777481,0.46979530922765717,2.5690340590040144,5.656400000000003
