cano_smiles,dataset,value
CCCN(C)Cc1cc(-c2nc(-c3cc(C)c(OCC(O)CNC(=O)CO)c(CC)c3)no2)cc(C)n1,training,-2.9395192526186187
CCc1cc(-c2noc(-c3ccc(C)c(CN(C)CC)c3)n2)cc(C)c1OCC(O)CNC(=O)CO,training,-3.9542425094393248
CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCC4NCC(=O)N(C)C)no2)cc1C#N.Cl,training,-3.9452715815077104
O=C(c1cc(C2CC2)on1)N(C1CCCCC1)C1CCCCC1,training,-2.0211892990699383
CC1=C(CN2CC(C(=O)O)C2)CCc2cc(OCC(C)Cc3ccc(Cl)cc3)ccc21,training,-3.9138138523837167
O=C(c1cc(C2CC2)on1)N(C1CCCCC1)C1CCOCC1,training,-3.548512256341036
Cc1cc(CCC(=O)c2sc(C)c3c2CC2C3C2(C)C)ccc1OCCO,training,-3.4132997640812524
CCc1cc(-c2noc(-c3sc(C)c4c3CCC(C)(C)C4)n2)cc(C)c1OCC(O)CNC(=O)CO,training,-2.0863598306747484
CCCN(CCC)c1cc(C(=O)Nc2ccc(O)cc2)ncn1,training,-3.3654879848909
CC(C)Oc1ccc(-c2nc(-c3ccc4c(c3)CCN(CCC(=O)O)C4)no2)cc1C#N,training,-3.599995995780543
CCc1c(CCN2CC(C(=O)O)C2)cccc1-c1nsc(-c2ccc(OC(C)C)c(C(F)(F)F)c2)n1,training,-3.5000003213429363
Cc1cc(-c2nnc(-c3sc(C)c4c3CC3C4C3(C)C)o2)cc(C)c1OCC(O)CO,training,-1.8149131812750736
CC1(C)CC(C(=O)N2CCN(c3noc(-c4cc(F)c(OCC(N)CO)cc4Cl)n3)CC2)C1,training,-2.6532125137753435
COc1cccc(-c2ccc(Oc3ccc(CCC(N)(CO)COP(=O)(O)O)cc3)cc2)c1,training,-3.3418300569205104
CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCC4NCCO)no2)cc1C#N,training,-3.9972989924095135
NC(CO)(CCc1ccc(-c2ccc(OCc3ccccc3)cc2)cc1Cl)COP(=O)(O)O,training,-1.1139433523068367
CCCCCc1nc(-c2ccc(CCC(N)(CO)COP(=O)(O)O)cc2)co1,training,-3.1886472959997163
CC(CN1CCc2oc(-c3ccc(OCc4ccc(C(F)(F)F)cc4)cc3)nc2C1)C(=O)O,training,-3.505149978319906
CCCCCCCCc1ccc(-c2cnc(C(N)COP(=O)(O)O)[nH]2)cc1,training,-3.230448921378274
CCc1cc(-c2noc(-c3cnc(C4CCCC4)c(C)c3)n2)cc(C)c1OCC(O)CNC(=O)CO,training,-1.3979400086720375
CCCCCCCOc1ccc(CCC(C)(N)CC(=O)O)cc1,training,-2.4771212547196626
NC(CO)(CCc1ccc(Oc2ccc(Cc3ccc(F)cc3)cc2)cc1)COP(=O)(O)O,training,-3.0572856444182146
O=C(O)C1CN(Cc2ccc(-c3nc4ccc(Cc5ccccc5)cc4o3)c(F)c2)C1,training,-2.733999286538387
