cano_smiles,dataset,value
Cc1nc(C(=O)N2CCC2c2nc(-c3cccc(Cl)c3C)no2)c(-c2ccccc2C)s1,training,-2.651278013998144
CC1CCC(Oc2cc(C#N)ccn2)CN1C(=O)c1ccccc1CC(F)(F)F,training,-1.505149978319906
CCOc1ncccc1-c1noc(C2CCCN2C(=O)c2cc(OC)ccc2-n2nccn2)n1,training,-1.2041199826559248
CC1CC(c2c(F)cccc2OCCO)N(Cc2ccc(OC(F)(F)F)cc2)C1=O,training,-1.7708520116421442
COc1ccc(C)c(-c2nc(C3CCCN3C(=O)c3ccc(C)cc3-n3nccn3)no2)c1,training,-1.4771212547196624
Cc1ccc(-n2nccn2)c(C(=O)N2CCCC2Cc2cccc(-n3nccn3)c2)c1,training,-0.9030899869919436
COc1cc(OC)nc(NCCn2cc(NC(=O)c3ncoc3-c3ccncn3)cn2)n1,training,-3.9552065375419416
CCOc1cnccc1-c1noc(C2CCCN2C(=O)c2cc(C)ccc2-n2nccn2)n1,training,-1.6127838567197357
CC1CCC(c2nc(C(C)(C)O)cs2)CN1C(=O)c1cscc1-c1ncccn1,training,-1.3979400086720375
COc1cc(C(=O)N2CCC2c2nc(-c3cccc(Cl)c3C)no2)c(-n2nccn2)cc1F,training,-1.3979400086720375
Cc1ccc(-n2nccn2)c(C(=O)N2CCCC2c2nc(-c3cccc4cc[nH]c34)no2)c1,training,-0.9542425094393248
COc1ccccc1-c1n[nH]c(C2CCCN2C(=O)c2ccc(Cl)cc2-n2nccn2)n1,training,-1.4913616938342726
COc1cccc(OC)c1C1CCCC(=O)N1Cc1cccc(-n2ccnc2)c1,training,-2.257678574869185
CCCOc1ccccc1-c1n[nH]c(C2CCCN2C(=O)c2cc(C)ccc2-n2nccn2)n1,training,-2.810232517995084
Cc1ccc(C(=O)N2CCOCC2Cc2cccc(-n3nccn3)c2)c(-n2nccn2)c1,training,-2.437750562820388
COc1ccc(S(=O)(=O)N2CCCC2C(=O)Nc2cc(Cl)ccc2OC)cc1,training,-2.3201462861110542
Cc1ccc(-n2nccn2)c(C(=O)N2CC(C)COC2Cn2cc(-c3ccc(F)cn3)cn2)c1,training,-0.6580113966571124
CCN(Cc1cccc(C)n1)C(=O)CN(c1cc(N(C)C)ccc1Cl)S(=O)(=O)c1ccc(OC)c(OC)c1,training,-0.6989700043360189
CCN(CC)C(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1,training,-2.3654879848909
COc1c(C#N)ccnc1OC1CCC(C)N(C(=O)c2cc(F)ccc2-n2nccn2)C1,training,-1.1760912590556811
COc1ccc(C)cc1S(=O)(=O)N1CCCC1C(=O)Nc1cc(C)cc(C)c1,training,-0.6020599913279624
CCOc1ncccc1-c1nc(C2CCCN2C(=O)c2cc(C)ccc2-n2nccn2)no1,training,-0.3010299956639812
COc1ccc(C(=O)N2CC(Oc3nccc(C#N)c3OC)CCC2C)c(-n2nccn2)n1,training,-1.4623979978989559
Cc1ccc(-n2nccn2)c(C(=O)N2CCCC2c2cc(-c3ccccc3)no2)c1,training,-2.123851640967086
Cc1c(Cl)cccc1-c1noc(C2CCCN2C(=O)c2ccc(F)cc2-n2nccn2)n1,training,-2.08278537031645
COc1cc(OC)nc(OCCn2cc(NC(=O)c3ncoc3-c3cccc(N(C)C)c3)cn2)n1,training,-2.187520720836463
O=C(c1ccco1)N1CCCC(c2nc(-c3ccc(S(=O)(=O)NCc4ccccc4)cc3)no2)C1,training,-3.741151598851785
Cc1c(NS(=O)(=O)c2cccc(C(=O)OCC(=O)N(C)C3CCCCC3)c2)c(=O)n(-c2ccccc2)n1C,training,-3.0
COc1cc(C(=O)N2CCC2c2nc(-c3cccc(F)c3OC)no2)c(-n2nccn2)cc1F,training,-1.414973347970818
CC1CCC(c2nc(C(O)C(F)F)cs2)CN1C(=O)c1ccccc1-n1nccn1,training,-2.123851640967086
CSc1cccc(NC(=O)C2CCCN(S(=O)(=O)c3ccc(F)cc3)C2)c1,training,-3.9242792860618816
Cc1ccc(C(=O)N2CCCC2(C)c2nc(-c3cccc(Cl)c3C)n[nH]2)c(-n2nccn2)c1,training,-1.3802112417116061
Cc1ccc(NCCn2cc(NC(=O)c3ncoc3-c3cccc(C)c3)cn2)nc1,training,-3.0170333392987803
Cc1cccc(C(=O)N2CCOCC2Cc2cccc(-n3nccn3)c2)c1-n1nccn1,training,-2.7180862947830917
COc1cccc(OCC2CC2)c1C1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,training,-3.6166855208955115
O=C(c1cc(F)ccc1-c1ncccn1)N1CCCOC1Cc1cnn(-c2ccc(F)cn2)c1,training,-1.7143297597452332
CC1CCN(c2cnc3cc(F)c(F)cc3n2)CCN1C(=O)c1ccccc1-n1nccn1,training,-1.505149978319906
COc1cncc(OC)c1C1CCCC(=O)N1Cc1cccc(-n2cccn2)n1,training,-3.5682017240669954
O=C(c1ccc(Cl)cc1-n1nccn1)N1CCOCC1Cc1cc(-c2ncon2)ccc1F,training,-2.2174839442139063
Cc1ccc(-n2nccn2)c(C(=O)N2CCCC2c2nc(-c3cccc(Cl)c3C)no2)n1,training,-1.8325089127062364
Cc1ccc(-c2ncccn2)c(C(=O)N2CCOC2Cn2ccc(-c3ccc(F)cn3)n2)c1,training,-0.9777236052888476
CSc1cccc(NC(=O)C2CCCN2S(=O)(=O)c2ccc3c(c2)OCCN3C)c1,training,-1.4313637641589874
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(Cl)cc1,training,-2.187520720836463
COc1cccc(OC)c1C1CCCC(=O)N1Cc1ccc(-c2ccccc2)s1,training,-1.57978359661681
COc1cc(C(=O)N2CCCC2c2nc(-c3cccc(F)c3OC)no2)c(-n2nccn2)cc1OC,training,-1.3010299956639813
