cano_smiles,dataset,value
Cc1c(C(=O)O)[nH]c2c(-c3cccnc3)csc12,training,-2.7993405494535817
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(Cl)c1O,training,-3.1430148002540954
O=C(Nc1cccc2c(=O)cc(C(=O)O)oc12)c1ccccc1,training,-3.6910814921229687
CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1,training,-2.591064607026499
COc1ccc(C(=O)Nc2cc(Br)cc3c(=O)cc(C(=O)O)oc23)c(Cl)c1,training,-1.0453229787866574
O=C(O)c1sc2c(Br)c(Br)sc2c1O,training,-3.0927206446841002
O=C(Nc1cc(F)cc2c(=O)cc(C(=O)O)oc12)c1ccc(Cl)c(Cl)c1,training,-2.0472748673841794
O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1,training,-3.100370545117563
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,training,-3.444044795918076
Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,training,-3.7218106152125454
O=C(Nc1cc(Cl)cc2c(=O)cc(C(=O)O)oc12)c1ccccc1,training,-2.633468455579586
Cc1c(C(=O)O)sc2cc(O)c(O)cc12,training,-3.7902851640332416
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,training,-3.871572935545879
CCOc1ccc(C(=O)Nc2cc(Br)cc3c(=O)cc(C(=O)O)oc23)cc1,training,-2.8020892578817325
CCCCCCCCCCCc1c(C(=O)O)sc2c(Br)csc12,training,-3.2764618041732443
N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,training,-0.0
O=C(O)c1[nH]c2cc(O)c(O)cc2c1-c1cccc(Cl)c1,training,-3.3944516808262164
O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2CC1=O,training,-3.6720978579357175
COc1ccc(C(=O)Nc2cc(Cl)cc3c(=O)cc(C(=O)O)oc23)c(F)c1,training,-0.7839035792727349
O=C(O)c1[nH]c2cc(O)c(O)cc2c1Br,training,-3.6127838567197363
COc1ccc(C(=O)Nc2cc(F)cc3c(=O)cc(C(=O)O)oc23)cc1,training,-2.0492180226701806
O=[N+]([O-])c1cc(C(=C(Cl)Cl)c2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1O,training,-3.0265332645232967
COc1ccc(C(=O)Nc2cc(Br)cc3c(=O)cc(C(=O)O)oc23)cc1OC,training,-2.630214235036177
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,training,-3.8435442119456353
